Item, Quantity, Date of Last Check, Notes
Harnesses, 8, 05/2018, All include meillons
Stops, 3, 05/2018, In "SRT Spares"
Hand Ascenders, 3, 05/2018, In "SRT Spares"
Kroll, 1, 05/2018, In "SRT Spares"
Footloop, 1, 05/2018, In "SRT Spares"
Maillon Rapide, 1, 05/2018, In "SRT Spares"
Pulleys, 2, 05/2018, In "SRT Spares"
Snap Gates, 14, 05/2018, Need tagging and sorting into incomplete kits and remainder to main store
Screw Gates, 3, 05/2018, Need moving into main store
Chest Tape, 2, 05/2018, In "SRT Spares"
Slings, 1, 05/2018, Need moving into main store
D Maillons, 1, 05/2018, Need moving into main store
